                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     47,                0.52697,                0.67031,                 1.0061,                0.95522,                0.99227,                  0.995,                0.93987,                0.34397,                0.53272,                0.90027,               0.006964,               0.006964,               0.006964
                     48,                0.52388,                0.73057,                 1.0115,                0.90004,                0.91816,                0.93864,                0.87899,                0.36574,                 1.0453,                0.93238,               0.006898,               0.006898,               0.006898
                     49,                0.53215,                0.67088,                 1.0344,                0.98606,                0.99691,                  0.995,                0.93056,                0.39832,                0.45556,                0.91449,               0.006832,               0.006832,               0.006832
                     50,                0.50751,                0.62666,                 0.9932,                  0.988,                      1,                  0.995,                0.93706,                0.36348,                 0.4323,                0.89806,               0.006766,               0.006766,               0.006766
                     51,                 0.5354,                0.63351,                 1.0364,                0.96106,                0.92804,                  0.995,                0.92018,                0.42099,                0.51662,                0.94114,                 0.0067,                 0.0067,                 0.0067
                     52,                0.51591,                0.63881,                 1.0265,                0.99152,                      1,                  0.995,                0.93296,                0.39759,                0.45182,                0.91643,               0.006634,               0.006634,               0.006634
                     53,                 0.5191,                0.62967,                0.99938,                0.77336,                  0.925,                0.95544,                0.89144,                0.35809,                0.66889,                0.89176,               0.006568,               0.006568,               0.006568
                     54,                0.54043,                0.67353,                 1.0227,                0.81422,                0.89446,                0.97155,                0.90491,                0.39302,                0.69511,                0.91005,               0.006502,               0.006502,               0.006502
                     55,                0.53219,                0.63335,                 1.0173,                0.98785,                      1,                  0.995,                0.94193,                0.36219,                0.46043,                0.89543,               0.006436,               0.006436,               0.006436
                     56,                0.51825,                0.60163,                  1.002,                0.96416,                0.99923,                  0.995,                0.92918,                0.35761,                0.52222,                0.89277,                0.00637,                0.00637,                0.00637
                     57,                0.53415,                0.61649,                 1.0055,                0.96185,                0.98428,                  0.995,                0.91968,                0.34064,                0.45967,                 0.8939,               0.006304,               0.006304,               0.006304
                     58,                0.52381,                0.61337,                 1.0093,                0.95181,                      1,                  0.995,                0.93314,                0.34391,                0.42206,                0.90291,               0.006238,               0.006238,               0.006238
                     59,                0.50405,                0.60412,                  1.004,                0.96797,                0.94903,                0.99045,                0.88462,                0.44721,                0.57095,                0.95446,               0.006172,               0.006172,               0.006172
                     60,                0.49503,                 0.6036,                0.99938,                0.99081,                      1,                  0.995,                0.92937,                0.33932,                0.39558,                0.89696,               0.006106,               0.006106,               0.006106
                     61,                0.48779,                 0.6035,                0.99036,                0.97333,                      1,                  0.995,                0.91739,                 0.3826,                0.43117,                0.90171,                0.00604,                0.00604,                0.00604
                     62,                0.50837,                0.62712,                 1.0231,                0.97393,                0.99751,                  0.995,                0.94915,                0.33205,                0.41545,                0.88065,               0.005974,               0.005974,               0.005974
                     63,                 0.5058,                0.60577,                 1.0306,                0.99232,                      1,                  0.995,                0.94973,                0.34052,                0.36279,                0.88037,               0.005908,               0.005908,               0.005908
                     64,                0.48484,                0.58661,                0.99307,                0.99327,                      1,                  0.995,                0.93737,                0.34788,                0.37077,                0.88468,               0.005842,               0.005842,               0.005842
                     65,                0.49221,                0.56451,                 1.0035,                0.99212,                      1,                  0.995,                0.94789,                0.35222,                0.35278,                0.88583,               0.005776,               0.005776,               0.005776
                     66,                0.48389,                0.55298,                0.99354,                0.99294,                      1,                  0.995,                 0.9304,                0.36402,                0.34315,                0.89528,                0.00571,                0.00571,                0.00571
                     67,                0.48411,                0.54916,                 1.0145,                0.99448,                      1,                  0.995,                0.94928,                0.34173,                0.35258,                0.87592,               0.005644,               0.005644,               0.005644
                     68,                0.49926,                 0.5545,                 1.0031,                0.99444,                      1,                  0.995,                0.94004,                0.34318,                0.37711,                0.87672,               0.005578,               0.005578,               0.005578
                     69,                0.47469,                0.56927,                0.99268,                0.99296,                      1,                  0.995,                0.92629,                0.33535,                0.39349,                0.87219,               0.005512,               0.005512,               0.005512
                     70,                0.47786,                0.55877,                0.98601,                0.99309,                      1,                  0.995,                0.94946,                0.32653,                0.33043,                0.86922,               0.005446,               0.005446,               0.005446
                     71,                0.48824,                0.52632,                0.99186,                0.99382,                      1,                  0.995,                  0.958,                0.28847,                0.29786,                0.85949,                0.00538,                0.00538,                0.00538
                     72,                0.46045,                0.53573,                0.98677,                0.99307,                      1,                  0.995,                0.94713,                0.28759,                0.31713,                0.85594,               0.005314,               0.005314,               0.005314
                     73,                   0.49,                0.54292,                0.98486,                0.97372,                0.91079,                  0.995,                0.95526,                0.29307,                0.54793,                0.86125,               0.005248,               0.005248,               0.005248
                     74,                0.45709,                0.51567,                0.97851,                0.97945,                0.93177,                  0.995,                0.95398,                0.27838,                0.47382,                0.84604,               0.005182,               0.005182,               0.005182
                     75,                0.45448,                0.51294,                0.96276,                0.98105,                0.95382,                  0.995,                0.94645,                0.30056,                0.43649,                0.85712,               0.005116,               0.005116,               0.005116
                     76,                0.45212,                0.50757,                0.98233,                0.98762,                      1,                  0.995,                0.95825,                0.31385,                0.39356,                0.86607,                0.00505,                0.00505,                0.00505
                     77,                0.44692,                0.50408,                0.97135,                 0.9937,                      1,                  0.995,                0.93256,                0.34407,                0.34211,                0.88859,               0.004984,               0.004984,               0.004984
                     78,                0.43231,                0.49496,                0.97926,                0.99169,                      1,                  0.995,                0.94516,                0.31964,                0.33824,                0.87252,               0.004918,               0.004918,               0.004918
                     79,                0.46324,                0.48142,                0.98329,                0.99055,                      1,                  0.995,                0.94808,                0.31342,                0.33167,                0.85986,               0.004852,               0.004852,               0.004852
                     80,                0.44986,                0.47975,                0.96407,                0.86053,                0.98261,                  0.995,                0.94869,                0.28436,                0.63239,                0.85123,               0.004786,               0.004786,               0.004786
                     81,                0.42035,                 0.4857,                0.95402,                0.89615,                0.97686,                  0.995,                0.94449,                0.30581,                0.51934,                0.85944,                0.00472,                0.00472,                0.00472
                     82,                0.46722,                0.53947,                0.97301,                0.87127,                0.99337,                  0.995,                0.95635,                0.31856,                 0.5501,                0.86227,               0.004654,               0.004654,               0.004654
                     83,                0.46165,                0.50153,                0.98706,                0.96745,                0.97774,                  0.995,                0.93863,                0.34394,                0.42118,                0.87718,               0.004588,               0.004588,               0.004588
                     84,                0.44251,                0.48666,                0.98155,                0.99075,                      1,                  0.995,                0.93165,                0.32717,                0.33041,                0.87364,               0.004522,               0.004522,               0.004522
                     85,                0.42442,                0.49343,                0.96963,                0.98665,                      1,                  0.995,                0.93141,                0.33143,                0.33047,                0.88058,               0.004456,               0.004456,               0.004456
                     86,                0.44148,                 0.4863,                0.97276,                0.99304,                      1,                  0.995,                0.93128,                0.32793,                0.31433,                0.87784,                0.00439,                0.00439,                0.00439
                     87,                0.42141,                0.48365,                0.95101,                0.99328,                      1,                  0.995,                0.94045,                 0.3373,                0.32037,                0.88716,               0.004324,               0.004324,               0.004324
                     88,                0.41807,                 0.4472,                0.95355,                 0.9931,                      1,                  0.995,                  0.945,                0.31966,                0.31312,                0.87814,               0.004258,               0.004258,               0.004258
                     89,                0.43038,                0.46257,                0.98358,                0.99391,                      1,                  0.995,                 0.9463,                0.32724,                0.29077,                0.88914,               0.004192,               0.004192,               0.004192
                     90,                0.44102,                0.47298,                0.97424,                0.99168,                      1,                  0.995,                0.95188,                0.31912,                0.29683,                0.88476,               0.004126,               0.004126,               0.004126
                     91,                0.44166,                0.46861,                0.96483,                0.99329,                      1,                  0.995,                0.95144,                0.31371,                0.30314,                0.87469,                0.00406,                0.00406,                0.00406
                     92,                 0.4254,                 0.4589,                0.97265,                0.99305,                      1,                  0.995,                0.96602,                0.32767,                0.27736,                0.87383,               0.003994,               0.003994,               0.003994
                     93,                0.42141,                0.46283,                0.95371,                0.99302,                      1,                  0.995,                0.95987,                0.33061,                 0.2958,                0.88911,               0.003928,               0.003928,               0.003928
                     94,                0.40844,                0.45979,                 0.9885,                0.99409,                      1,                  0.995,                0.93421,                0.36625,                0.28812,                0.89898,               0.003862,               0.003862,               0.003862
                     95,                0.36885,                0.40412,                 0.9352,                  0.994,                      1,                  0.995,                0.95362,                0.32006,                0.27503,                0.88558,               0.003796,               0.003796,               0.003796
                     96,                0.39675,                0.43784,                0.95494,                 0.9944,                      1,                  0.995,                0.95174,                0.29304,                0.26183,                0.87415,                0.00373,                0.00373,                0.00373
                     97,                0.40408,                0.41944,                0.95399,                0.99103,                      1,                  0.995,                0.95396,                0.29309,                0.27582,                0.86724,               0.003664,               0.003664,               0.003664
