                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     52,                0.59019,                0.67953,                 1.0276,                0.81026,                0.79517,                0.74704,                0.67801,                0.42615,                 1.4439,                0.96327,              0.0094951,              0.0094951,              0.0094951
                     53,                0.59507,                0.70645,                   1.06,                0.98864,                0.98542,                  0.995,                0.90961,                0.41349,                0.51932,                 0.9518,              0.0094852,              0.0094852,              0.0094852
                     54,                0.60769,                0.70083,                 1.0572,                0.97761,                      1,                  0.995,                0.91814,                0.41645,                0.49504,                0.96994,              0.0094753,              0.0094753,              0.0094753
                     55,                0.59808,                0.66313,                 1.0554,                0.99001,                0.99933,                  0.995,                0.91847,                0.42723,                0.40811,                0.96503,              0.0094654,              0.0094654,              0.0094654
                     56,                0.55773,                0.62794,                 1.0171,                0.99283,                      1,                  0.995,                0.91347,                0.41847,                0.41725,                0.95934,              0.0094555,              0.0094555,              0.0094555
                     57,                0.62219,                0.66349,                 1.0434,                0.97144,                0.98743,                  0.995,                0.92134,                0.42452,                 0.5643,                  0.937,              0.0094456,              0.0094456,              0.0094456
                     58,                0.55853,                0.67375,                 1.0251,                0.87485,                0.91977,                0.99273,                0.91788,                0.39945,                0.71962,                0.93809,              0.0094357,              0.0094357,              0.0094357
                     59,                 0.6005,                0.64905,                 1.0362,                0.99057,                      1,                  0.995,                0.94441,                0.38118,                0.46677,                0.93317,              0.0094258,              0.0094258,              0.0094258
                     60,                 0.5869,                0.65082,                 1.0376,                0.98838,                      1,                  0.995,                 0.9536,                0.37001,                 0.5289,                 0.9221,              0.0094159,              0.0094159,              0.0094159
                     61,                0.57829,                0.60232,                 1.0274,                0.98981,                      1,                  0.995,                0.93623,                0.38413,                0.43866,                0.94556,               0.009406,               0.009406,               0.009406
                     62,                  0.579,                0.65228,                 1.0315,                0.99114,                      1,                  0.995,                0.92968,                 0.3939,                0.39793,                 0.9446,              0.0093961,              0.0093961,              0.0093961
                     63,                0.57054,                 0.6222,                  1.046,                0.97857,                  0.993,                  0.995,                0.91214,                0.40071,                0.39435,                 0.9593,              0.0093862,              0.0093862,              0.0093862
                     64,                0.54462,                0.62793,                 1.0186,                0.86708,                0.92802,                0.97696,                0.89655,                0.40837,                0.60175,                 0.9416,              0.0093763,              0.0093763,              0.0093763
                     65,                0.55951,                0.61331,                 1.0641,                0.99139,                      1,                  0.995,                0.91918,                 0.4013,                0.34841,                0.93429,              0.0093664,              0.0093664,              0.0093664
